ACK_ID,FORM_ID,ROW_ORDER,INS_BROKER_NAME,INS_BROKER_US_ADDRESS1,INS_BROKER_US_ADDRESS2,INS_BROKER_US_CITY,INS_BROKER_US_STATE,INS_BROKER_US_ZIP,INS_BROKER_FOREIGN_ADDRESS1,INS_BROKER_FOREIGN_ADDRESS2,INS_BROKER_FOREIGN_CITY,INS_BROKER_FOREIGN_PROV_STATE,INS_BROKER_FOREIGN_CNTRY,INS_BROKER_FOREIGN_POSTAL_CD,INS_BROKER_COMM_PD_AMT,INS_BROKER_FEES_PD_AMT,INS_BROKER_FEES_PD_TEXT,INS_BROKER_CODE
"20250226083450NAL0000845201001",2,1,"WILLIS TOWERS WATSON US LLC","COMMISSION LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,,8799,"SALES & SERVICE OVERRIDE","3"
"20250226083450NAL0000845201001",3,1,"WILLIS TOWERS WATSON US LLC","COMMISSION LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,,11295,"SALES & SERVICE OVERRIDE","3"
"20250226083450NAL0000845201001",4,1,"WILLIS TOWERS WATSON US LLC","COMMISSION LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,,1856,"SALES & SERVICE OVERRIDE","3"
"20250226083450NAL0000845201001",6,1,"WILLIS TOWERS WATSON US LLC","PO BOX 28852",,"NEW YORK","NY","100878852",,,,,,,28784,6556,"BONUS","3"
"20250226083450NAL0000845201001",7,1,"WILLIS TOWERS WATSON US LLC","PO BOX 28852",,"NEW YORK","NY","100878852",,,,,,,14683,3010,"BONUS","3"
"20250226083450NAL0000845201001",8,1,"WILLIS TOWERS WATSON US LLC","COMMISSION LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,2981,,,"3"
"20250226083450NAL0000845201001",9,1,"WILLIS TOWERS WATSON US LLC","COMMISSION LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,2268,,,"3"
"20250226083450NAL0000845201001",10,1,"WILLIS TOWERS WATSON US LLC","LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,3169,,,"3"
"20250226083450NAL0000845201001",11,1,"WILLIS TOWERS WATSON US LLC(NY)","400 NORTH EXECUTIVE DRIVE","SUITE 300","BROOKFIELD","WI","53005",,,,,,,2759,,,"3"
"20250226083450NAL0000845201001",12,1,"WILLIS TOWERS WATSON US LLC","901N GLEBE RD",,"ARLINGTON","VA","22203",,,,,,,8867,,,"3"
"20250226083450NAL0000845201001",13,1,"WILLIS TOWERS WATSON US LLC","LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,3166,,,"3"
"20250226083450NAL0000845201001",14,1,"WILLIS TOWERS WATSON US LLC","PO BOX 28852",,"NEW YORK","NY","100878852",,,,,,,69174,,,"3"
"20250226083450NAL0000845201001",15,1,"MERCER HEALTH & BENEFITS LLC",,,,,,,,,,,,175,,,"3"
"20250226083450NAL0000845201001",16,1,"WILLIS TOWERS WATSON US LLC","PO BOX 28852",,"NEW YORK","NY","100878852",,,,,,,699765,33328,"SERVICE FEE","3"
"20250226083535NAL0000837617001",1,1,"WILLIS TOWERS WATSON US LLC","COMMISSION LOCKBOX 28852","P.O.BOX 28852","NEW YORK","NY","10087",,,,,,,6739,,,"3"
"20250226083535NAL0000837617001",6,1,"WILLIS TOWERS WATSON US LLC","PO BOX 28852",,"NEW YORK","NY","100878852",,,,,,,36359,,,"3"
"20250226083535NAL0000837617001",7,1,"WILLIS TOWERS WATSON US LLC","PO BOX 28852",,"NEW YORK","NY","100878852",,,,,,,23214,,,"3"
"20250226083535NAL0000837617001",8,1,"WILLIS TOWERS WATSON US LLC","COMMISSION LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,3485,,,"3"
"20250226083535NAL0000837617001",9,1,"WILLIS TOWERS WATSON US LLC","COMMISSION LOCKBOX 28852","PO BOX 28852","NEW YORK","NY","10087",,,,,,,3918,,,"3"
